,forks,stars,subscribers,total_issues,closed_issues,pull_requests_merged,pull_request_contributors,code_additions_deletions_4_weeks,commit_count_4_weeks,last_4_weeks_commit_activity_series
14,771,2436,308,661,658,2191,156,"{'additions': 258, 'deletions': -217}",28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 5, 1, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
16,2321,4540,450,2244,1874,3883,266,"{'additions': 88, 'deletions': -53}",80,"[0, 0, 1, 1, 1, 1, 0, 3, 1, 0, 2, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,905,3023,374,820,688,761,51,"{'additions': 1030, 'deletions': -330}",30,"[0, 1, 0, 2, 1, 0, 0, 4, 0, 0, 2, 2, 2, 1, 1, 1, 2, 0, 0, 1, 1, 2, 1, 1, 3, 0, 0, 0]"
18,129,261,261,576,373,484,47,"{'additions': None, 'deletions': None}",180,[]
19,818,2465,263,1113,949,798,63,"{'additions': 2050, 'deletions': -626}",85,"[0, 2, 1, 2, 4, 0, 0, 0, 0, 0, 4, 5, 3, 0, 0, 4, 7, 5, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
20,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
21,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
22,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
23,180,887,140,67,32,39,21,"{'additions': 0, 'deletions': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,39,76,31,354,332,293,19,"{'additions': 3788, 'deletions': -1055}",11,"[0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 4, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
25,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
26,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
27,155,435,81,75,66,263,13,"{'additions': 3, 'deletions': -1}",5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
28,57,31,11,14,10,5,4,"{'additions': 585, 'deletions': -306}",5,"[0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,411,1182,140,1053,669,424,45,"{'additions': 0, 'deletions': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
31,1053,1279,213,524,463,2751,80,"{'additions': 0, 'deletions': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,125,272,35,15,3,0,0,"{'additions': 18920, 'deletions': -17783}",1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,27,110,23,18,14,68,7,"{'additions': 0, 'deletions': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
35,53,134,15,611,531,1322,14,"{'additions': 16472, 'deletions': -8220}",73,"[1, 2, 3, 4, 6, 10, 0, 0, 0, 2, 7, 0, 2, 0, 0, 0, 8, 6, 7, 3, 1, 0, 3, 1, 3, 0, 0, 0]"
36,114,235,40,68,28,590,20,"{'additions': 93025, 'deletions': -36271}",172,"[1, 1, 15, 16, 1, 0, 0, 0, 4, 3, 1, 3, 3, 0, 0, 3, 7, 12, 5, 15, 0, 0, 5, 7, 14, 0, 0, 0]"
37,1695,4224,405,2989,2133,965,76,"{'additions': 727, 'deletions': -2056}",47,"[0, 1, 7, 0, 4, 3, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 2, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
